AppID,name,release_date,price,positive,negative,total_reviews,score,average_playtime_forever,median_playtime_forever,era,is_top_tier
416790,The Metronomicon: Slay The Dance Floor,2016-09-29,4.99,330,65,395,83.54,183,237,Intermediate Period,False
715560,Eastshade,2019-02-13,9.99,4608,549,5157,89.35,320,151,Intermediate Period,True
375510,New kind of adventure,2015-06-04,0.99,632,881,1513,41.77,217,212,Intermediate Period,False
2997980,Natsu no Sagashimono ~What We Found That Summer~,2024-09-27,11.99,687,92,779,88.19,335,402,Modern Renaissance,True
914710,Cat Quest II,2019-09-24,3.74,6092,273,6365,95.71,263,159,Intermediate Period,True
1477330,Soulestination,2021-01-05,1.34,538,47,585,91.97,503,940,Modern Renaissance,True
1272080,PAYDAY 3,2023-09-21,14.99,25497,33195,58692,43.44,1421,721,Modern Renaissance,False
2287970,Dungeon's Legion,2023-10-13,15.99,474,64,538,88.1,526,564,Modern Renaissance,True
1889930,Baldur's Gate: Dark Alliance II,2022-07-20,27.99,476,111,587,81.09,149,149,Modern Renaissance,False
1832040,Flintlock: The Siege of Dawn,2024-07-17,9.99,837,267,1104,75.82,309,539,Modern Renaissance,False
1147860,UFO 50,2024-09-18,18.74,5982,267,6249,95.73,549,230,Modern Renaissance,True
342640,Pixel Privateers,2017-02-21,14.99,626,257,883,70.89,710,357,Intermediate Period,False
2143680,Noctuary,2023-11-28,17.99,1642,74,1716,95.69,1051,917,Modern Renaissance,True
345180,Victor Vran ARPG,2015-07-24,19.99,5456,904,6360,85.79,569,305,Intermediate Period,True
2688680,Girls of The Tower,2024-02-23,4.54,494,81,575,85.91,757,392,Modern Renaissance,True
293780,Crawl,2017-04-11,2.99,6673,366,7039,94.8,278,153,Intermediate Period,True
690640,Trine 4: The Nightmare Prince,2019-10-08,5.99,11924,1455,13379,89.12,445,315,Intermediate Period,True
756530,TOKYO GHOUL:re [CALL to EXIST],2019-11-14,9.59,1742,727,2469,70.55,202,201,Intermediate Period,False
1152340,Book of Travels,2021-10-11,23.99,1592,411,2003,79.48,110,182,Modern Renaissance,False
1088850,Marvel's Guardians of the Galaxy,2021-10-26,8.99,36857,2301,39158,94.12,726,483,Modern Renaissance,True
962580,Summer in Mara,2020-06-16,1.99,1460,472,1932,75.57,532,479,Modern Renaissance,False
2530470,Garden of Witches,2025-05-23,15.19,479,19,498,96.18,261,341,Modern Renaissance,True
1847150,Touhou Genso Wanderer -FORESIGHT-,2024-05-14,24.49,146,158,304,48.03,806,1310,Modern Renaissance,False
2853730,Skull and Bones,2024-08-22,5.99,1156,548,1704,67.84,1492,1209,Modern Renaissance,False
453850,Dear RED - Extended,2016-04-12,0.59,259,133,392,66.07,252,230,Intermediate Period,False
396640,TowerClimb,2015-09-22,14.99,353,32,385,91.69,105,200,Intermediate Period,True
1798020,Mega Man Battle Network Legacy Collection Vol. 2,2023-04-13,12.79,430,71,501,85.83,625,787,Modern Renaissance,True
1682050,PropHunter,2021-08-06,1.23,676,169,845,80.0,121,108,Modern Renaissance,False
311480,Vertical Drop Heroes HD,2014-07-25,1.74,591,141,732,80.74,70,20,Intermediate Period,False
